Lineas y recorridos a alto nivel - http://www.xcolectivo.com.ar

Linea 1,Moron - Primera Junta
Linea 104,Liniers - Mataderos - Flores - Plaza Miserere
Linea 105,Correo Central - Congreso - Villa Devoto - Saenz Peña
Linea 106,Liniers - Retiro
Linea 107,Parque Avellaneda - Villa Devoto - Villa Urquiza - Ciudad Universitaria
Linea 108,Liniers - Villa Devoto - Palermo - Retiro
Linea 109,Liniers - Facultad de Medicina - Tribunales - Correo Central
Linea 110,Facultad de Derecho - Saavedra - Villa Martelli
Linea 111,Puerto Madero - Facultad de Medicina - Palermo - Jose Leon Suarez
Linea 112,Lanus - Nueva Pompeya - Chacarita - Villa Urquiza
Linea 113,San Justo - Flores - Barrancas de Belgrano
Linea 114,Puente La Noria - Villa Devoto - Villa Urquiza - Barrancas de Belgrano
Linea 115,Retiro - Plaza Miserere - Nueva Pompeya - Villa Soldati
Linea 117,Ingeniero Budge - Puente de La Noria - Villa Lugano - Liniers - Puente Saavedra - Estacion Rivadavia
Linea 118,Barrancas de Belgrano - Palermo - Plaza Miserere - Parque Patricios
Linea 123,Chacarita - El Palomar
Linea 124,Facultad de Derecho - Recoleta - Villa Devoto - Ciudadela Norte
Linea 126,La Tablada - Parque Avellaneda - Correo Central - Retiro
Linea 127,Boedo - Chacarita - Villa Urquiza - Jose Leon Suarez - Don Torcuato
Linea 128,Plaza Italia - Nueva Pompeya - Valentin Alsina
Linea 129,Retiro - Congreso - Plaza Miserere - Constitucion - Florencio Varela - La Plata
Linea 130,La Boca - Correo Central - Retiro - Puente Saavedra - Munro - Boulogne
Linea 132,Cementerio de Flores - Flores - Plaza Miserere - Facultad de Medicina - Plaza Miserere - Retiro
Linea 133,Villa Martelli - Puente Saavedra - Villa Urquiza - Constitucion
Linea 134,Dock Sud - Barracas - Flores - Villa Devoto
Linea 135,Hospital Posadas - Puente Uriburu
Linea 136,Primera Junta - Flores - Liniers - Moron - Parque San Martin - Merlo - Marcoz Paz - Navarro
Linea 140,Correo Central - Villa Urquiza - Villa Adelina - Boulogne Sur Mer
Linea 141,Villa Albertina - Puente de La Noria - Flores - Plaza Italia - Palermo
Linea 143,Tapiales - Villa Lugano - Constitucion - Correo Central - Retiro
Linea 146,Hospital Posadas - Villa Real - Plaza Miserere - Correo Central
Linea 148,Florencio Varela - Plaza Constitucion
Linea 150,Villa Madero - Nueva Pompeya - Congreso - Retiro
Linea 150,Villa Madero - Nueva Pompeya - Congreso - Retiro
Linea 151,Puente Saavedra - Plaza Miserere - Congreso - Constitucion
Linea 152,Olivos - Puente Saavedra - Palermo - Retiro - Correo Central - La Boca
Linea 153,Liniers - Moron - Ituzaingo - Libertad
Linea 154,Constitucion - Lanus
Linea 159,Correo Central - Quilmes - Berazategui - Florencio Varela
Linea 160,Ciudad Universitaria - Palermo - Nueva Pompeya - Lanus - Lomas de Zamora - Claypole
Linea 161,Liniers - Villa Martelli - Florida - Puente Saavedra - Plaza Italia - Puente Saavedra - Palermo
Linea 163,Primera Junta - Flores - Liniers - Moron - San Miguel
Linea 165,Monte Grande - Loma Verde - Nueva Pompeya - Plaza Miserere
Linea 166,Estacion Tres de Febrero - Puente Pacifico - Palermo - Ramos Mejia - Moron - Barrio Nuevo - Moron - Barrio Nuevo
Linea 168,La Boca - Constitucion - Plaza Miserere - Vicente Lopez - Olivos - San Isidro
Linea 169,Av. Cabildo y Av. Congreso - Puente Saavedra - Pablo Podesta - Loma Hermosa
Linea 172,Primera Junta - Liniers - Ramos Mejia - Atalaya
Linea 174,Liniers - San Justo - Isidro Casanova - Rafael Castillo - Ciudad Evita - Moron
Linea 175,Martin Coronado - Villa Urquiza - Av. Cabildo y Av. Congreso
Linea 176,Chacarita - Villa Urquiza - Jose C. Paz - Tortuguitas - Pilar - Escobar
Linea 177,Burzaco - Claypole - Rafael Calzada - Remedios de Escalada - Lanus - Nueva Pompeya
Linea 178,Nueva Pompeya - Avellaneda - Florencio Varela - Estacion Zeballos
Linea 179,Nueva Pompeya - Lanus - Villa Caraza - Fiorito
Linea 180,Correo Central - Primera Junta - San Justo - Gonzalez Catan
Linea 181,Almagro - Primera Junta - Caseros - Ramos Mejia
Linea 182,Parque Avellaneda - Liniers - Ramos Mejia - Haedo - Ramos Mejia - Haedo - El Palomar - Hospital Posadas - Hurlingham - Jose C. Paz
Linea 184,Villa Adelina - Munro - Puente Saavedra - Chacarita
Linea 185,Villa Lugano - Liniers - San Justo - Isidro Casanova
Linea 188,Palermo - Plaza Miserere - Nueva Pompeya - Ingeniero Budge
Linea 193,Nueva Pompeya - Ciudad Evita - Mercado Central - Laferrere
Linea 194,Plaza Miserere - Puente Saavedra - Escobar - Zarate
Linea 195,Retiro - Constitucion - City Bell - La Plata - City Bell - La Plata
Linea 202,Berisso - Ensenada - La Plata - Cementerio
Linea 203,Puente Saavedra - San Fernando - Pilar - San Miguel - Moreno - Don Torcuato - San Miguel
Linea 204A,Zarate - Escobar - Ingeniero Maschwitz - Boulogne - Fabrica Ford - General Pacheco - Villa Ballester - San Martin
Linea 204B,Carupa - San Fernando - General Pacheco - Fabrica Ford - Benavidez - Ingeniero Maschwitz - Garin - Escobar
Linea 205,Liniers - Ramos Mejia - Universidad de La Matanza - San Justo - Gonzalez Catan - Pontevedra
Linea 218,Liniers - San Justo - Isidro Casanova - Estación Independencia - Gonzalez Catan - Cañuelas
Linea 219,Quilmes - Ezpeleta - Berazategui - Rotonda de Alpargatas
Linea 228A,Puente Saavedra - Shopping Unicenter - Fabrica Ford - Escobar - Campana - Zarate
Linea 228B,Puente Saavedra - Shopping Unicenter - Fabrica Ford - Garin - Ingeniero Maschwitz - Escobar
Linea 228D,Puente Saavedra - Shopping Unicenter - Lopez Camelo - Fabrica Ford - Cabot - Garin
Linea 228E,Puente Saavedra - Shopping Unicenter - Lopez Camelo - Fabrica Ford - Cabot - Garin
Linea 228F,Puente Saavedra - Shopping Unicenter - Barrio Fonavi - Tortuguitas - Alberti - Del Viso
Linea 236,Moron - Barrio San Francisco - Barrio Los Aromos - Gonzalez Catan - Pontevedra - Barrio Rivadavia - Barrio Matera - Merlo - Marcos Paz - Barrio Belgrano
Linea 237,Liniers - Caseros - Saenz Peña - Villa Ballester - Saenz Peña - San Martin - Jose Leon Suarez - Villa Lanzone
Linea 238,Haedo - Ingeniero Brian - Moron - Castelar - Ituzaingo - Libertad - Barrio La Teja - Merlo Gomez
Linea 242,Liniers - Ciudadela - Ramos Mejia - Haedo - Ingeniero Brian - San Justo - Moron
Linea 244,Moron - Hurlingham - Don Torcuato - Panamericana y Ruta 202
Linea 247,Barrio San Jeronimo - Rafael Calzada - Villa Dominico - Sarandi - Avellaneda - Fiorito
Linea 252,San Martin - Carapachay - Martin Coronado - El Palomar
Linea 253,Liniers - Ciudadela - Ramos Mejia - Moron - Castelar - Ituzaingo - Libertad - Barrio Nuevo
Linea 257,Quilmes - San Francisco Solano
Linea 263,Villa Alcira - Bernal - Quilmes - San Francisco Solano - Claypole - Burzaco
Linea 266,Lanus - Lomas de Zamora - Temperley - Bernal - Wilde - San Francisco Solano - Florencio Varela - Avellaneda
Linea 269,Moron - Castelar - Cruce Castelar - Moreno - San Miguel - General Lemos
Linea 271,Rafael Calzada - Burzaco - Monte Chingolo - Sarandi - San Francisco Solano - Lanus - Cementerio de Lomas - Villa Fiorito
Linea 273,Rufino de Elizalde - Ringuelet - Gonnet - City Bell - Rotonda de Alpargatas - La Plata
Linea 275,La Plata - Barrio Monasterio - Ensenada - Punta Lara
Linea 277,Mercado Frutihorticola - Sarandi - Avellaneda - Lanus - Remedios de Escalada - Universidad de Lomas de Zamora
Linea 278,Lanus - Banfield - Lomas de Zamora - Temperley - Quilmes - San Francisco Solano
Linea 281,Lanus - Quilmes
Linea 283,Lanus - Cementerio de Lomas - Villa Albertina - Puente de la Noria
Linea 284,Liniers - Ciudadela - Rafael Castillo
Linea 288,Moreno - Barrio Policial - Cascallares
Linea 291,Escobar - Ingeniero Maschwitz - Dique Lujan - Pilar
Linea 293,Avellaneda - Sarandi - Barrio El Dorado - Barrio Don Orione
Linea 295,Lanus - Cementerio de Avellaneda - Wilde - Barrio Grafico
Linea 298,Puente de La Noria - Mercado Central - Liniers - San Justo - Ramos Mejia
Linea 299,Lanus - Banfield
Linea 300,Quilmes - Berazategui - Ranelagh - Bosques
Linea 300,Quilmes - Berazategui - Ranelagh - Bosques
Linea 302,Moreno - Moron - Ramos Mejia - Liniers
Linea 303,Moron - San Miguel - Pablo Nogues - Acceso Pilar
Linea 306,Spegazzini - Tristan Suarez - Ezeiza - Monte Grande - Lomas de Zamora - Puente 12 - La Tablada - San Justo
Linea 307,Rio Santiago - Ensenada - La Plata - Carcel de Olmos
Linea 310,San Martin - Barrio Libertador
Linea 311,Moreno - La Perlita
Linea 312,General Rodriguez - Francisco Alvarez - Moreno - Paso del Rey - Merlo - San Antonio de Padua - Villa Leon - Ituzaingo
Linea 314,Shopping Soleil Factory - Boulogne Sur Mer - Villa Adelina - Martinez - Olivos - Puente Saavedra
Linea 315,Panamericana y Ruta 202 - San Miguel - Jose C. Paz - Pablo Nogues - El Talar - Panamericana y Ruta 197
Linea 317,Moron - Isidro Casanova - Crovara y Cristiania - Barrio San Alberto
Linea 318,Puente de la Noria - Banfield - Lomas de Zamora - Temperley - Turdera - Adrogue - Barrio Don Orione - Claypole
Linea 320,Moron - El Palomar - Martin Coronado
Linea 321,Castelar - Ituzaingo - Barrio Marina
Linea 324,Don Bosco - Sarandi - Bernal - Cruce Varela - Florencio Varela - Bosques - Rotonda de Alpargatas - Ingeniero Allan - Barrio La Carolina
Linea 325,Liniers - Ciudadela - Ramos Mejia - San Justo - Isidro Casanova - Laferrere
Linea 326,Liniers - Ramos Mejia - Haedo - Hospital Posadas - Moron - El Palomar
Linea 328,Barrio Escalada - J. M. Bosch - San Martin
Linea 329,Moreno - Nine Shopping - Merlo - San Antonio de Padua
Linea 333,San Isidro - Beccar - Boulogne - Villa Adelina - Carapachay - Munro - Olivos
Linea 336,Moron - Castelar - Ituzaingo - San Antonio de Padua - Merlo - Paso del Rey
Linea 338,La Plata - Rotonda de Alpargatas - Claypole - Universidad de Lomas de Zamora - Puente 12 - La Tablada - San Justo - Moron - Pablo Podesta - Jose Leon Suarez - Boulogne Sur Mer - San Isidro
Linea 341,Los Polvorines - Malvinas Argentinas - Don Torcuato - San Miguel - Grand Bourg - Tortuguitas
Linea 343,Liniers - Ciudadela - Caseros - Ramos Mejia - Lourdes - Villa Ballester - Munro - San Martin - Hospital Posadas - Caseros - Villa Adelina - Martinez - Acassuso - San Isidro - Beccar - Carupa - Tigre
Linea 354,San Francisco Solano - Lanus - Valentin Alsina - Puente Alsina
Linea 365,Puente Saavedra - Unicenter Shopping - Beccar - Carupa - General Pacheco - Pablo Nogues - General Lemos - San Miguel - Jose C. Paz - Moreno - General Rodriguez - Barrio Stefani - Lujan
Linea 371,Virreyes - Boulogne Sur Mer - Unicenter Shopping - Don Torcuato - Panamericana y Melo - Unicenter Shopping - Don Torcuato - Panamericana y Melo
Linea 372,Ezpeleta - Quilmes - Cruce Varela - Bosques
Linea 373,San Francisco Solano - Puente Avellaneda
Linea 378,Liniers - Ciudadela - Ramos Mejia - San Justo - Isidro Casanova - Laferrere - Gonzalez Catan - Barrio Independencia
Linea 379,Don Torcuato - Los Polvorines
Linea 382,Lomas del Mirador - San Justo - Isidro Casanova - Gonzalez Catan - Liniers - Pontevedra
Linea 384,San Francisco Solano - Claypole - Rafael Calzada - Jose Marmol - Adrogue
Linea 386,Moron - Av. Gral. Paz y Beiro
Linea 390,Moron - William C. Morris - Ruben Dario - Hurlingham - Hospital Posadas - Ramos Mejia - Liniers
Linea 391,El Talar - Pablo Nogues - Jose C. Paz - Barrio La Paz - Barrio San Atilio
Linea 392,Moron - Castelar - Ituzaingo - San Antonio de Padua - Merlo - Parque San Martin
Linea 395,Moron - Castelar - Ituzaingo - Barrio San Alberto - Barrio Santa Cecilia - Villa Las Naciones
Linea 405,Lanus - Ingeniero Budge - Puente de La Noria
Linea 406,Ramos Mejia - San Justo - Burzaco - Adrogue - Lomas
Linea 407,Villa Hidalgo - Shopping Soleil Factory - Boulogne Sur Mer - San Isidro - Acassuso - Unicenter Shopping - Munro
Linea 410,San Martin - Campo de Mayo - San Miguel - Moreno - General Rodriguez - Pilar - Lujan
Linea 421,Lomas de Zamora - Avellaneda
Linea 422,General Rodriguez - Moreno
Linea 429,San Martin - Campo de Mayo - San Miguel - Moreno - General Rodriguez - Pilar - Lujan
Linea 430,Puente Saavedra - Unicenter Shopping - Tigre - Rincon de Milberg
Linea 435,Lanus - Remedios de Escalada - Banfield - Lomas de Zamora - Temperley - Adrogue - Burzaco - Longchamps - Glew - Guernica - Alejandro Korn - San Vicente
Linea 437,San Isidro - Boulogne Sur Mer - Fabrica Ford - Garin
Linea 441,Moron - Castelar - Ituzaingo - Barrio San Alberto - Barrio Nuevo - La Refalosa - Parque Leloir - Villa Udaondo
Linea 446,Lanus - Avellaneda
Linea 461,Moron - Villa Tesei - Hurlingham - Villa Udaondo
Linea 462,Moron - Hurlingham - Estacion Jorge Newbery
Linea 463,Moron - Hurlingham - Ruben Dario - Barrio Destino - Barrio Gaona - Barrio Cartero - William C. Morris
Linea 464,Moron - Villa Tesei - William C. Morris - Hurlingham
